id,value
"category.Finance & Investments.Andre Koo, Sr․",4600
category.Fashion & Retail.Ronald Lauder,4600
category.Manufacturing.Li Chunan,4600
category.Media & Entertainment.Forrest Li,4600
category.Telecom.Richard Li,4600
category.Fashion & Retail.Doug Meijer & family,4600
category.Fashion & Retail.Hank Meijer & family,4600
category.Fashion & Retail.Mark Meijer & family,4600
category.Food & Beverage.Issad Rebrab & family,4600
category.Logistics.Fred Smith,4600
category.Finance & Investments.Barry Sternlicht,4600
category.Manufacturing.Maximilian Viessmann,4600
category.Food & Beverage.Russ Weiner,4600
category.Healthcare.Xue Min,4600
category.Food & Beverage.Juan Domingo Beckmann Legorreta & family,4500
category.Technology.Dietmar Hopp & family,4500
category.Technology.Jiang Bin,4500
category.Technology.Joseph Liemandt,4500
category.Food & Beverage.Theo Mueller,4500
category.Technology.N․R․ Narayana Murthy,4500
category.Fashion & Retail.Odd Reitan & family,4500
category.Finance & Investments.Marc Rowan,4500
category.Real Estate.Hussain Sajwani,4500
category.Finance & Investments.David Velez & family,4500
category.Manufacturing.Xu Jinfu,4500
category.Diversified.Samuel Yin,4500
category.Manufacturing.You Xiaoping & family,4500
category.Healthcare.Stéphane Bancel,4400
category.Technology.Margot Birmingham Perot,4400
category.Manufacturing.Neal Blue & family,4400
category.Service.Jim Davis,4400
category.Construction & Engineering.Rafael Del Pino,4400
category.Healthcare.Peter Grogg,4400
category.Fashion & Retail.Christian Haub,4400
category.Real Estate.Mangal Prabhat Lodha,4400
category.Sports.Jeffrey Lurie & family,4400
category.Finance & Investments.Joe Mansueto,4400
category.Manufacturing.Qian Dongqi & family,4400
category.Metals & Mining.Mikhail Shelkov,4400
category.Telecom.Patrick Drahi,4300
category.Finance & Investments.Behdad Eghbali,4300
category.Finance & Investments.Juan Carlos Escotet,4300
category.Finance & Investments.Jose E․ Feliciano,4300
category.Healthcare.Hu Kaijun,4300
category.Logistics.Johnelle Hunt,4300
category.Food & Beverage.Marian Ilitch,4300
category.Diversified.Daryl Katz,4300
category.Metals & Mining.Andrei Kozitsyn,4300
category.Finance & Investments.Timur Kulibaev,4300
category.Finance & Investments.Dinara Kulibaeva,4300
